min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.02,0.5,50,2.5,0.1,-0.0007822871625353582,-0.10930909490968015,-0.1250425284931645,0.0044761734200011016,27,0.3333333333333333,0.9975136519532206,79.70370370370371
0.015,0.5,100,2.0,0.1,-0.0010131583330899594,-0.13482003371768325,-0.15408040038367846,0.004973322260630392,38,0.3157894736842105,1.0125970093797771,64.44736842105263
0.02,0.5,20,2.0,0.1,-0.0011327885153569514,-0.14719494831343255,-0.15579878297961275,0.00492576099256585,44,0.3181818181818182,1.0171232881612327,51.79545454545455
0.02,0.2,100,2.5,0.1,-0.00146229816519015,-0.1975865020936424,-0.23918386242246942,0.00479612779013541,25,0.24,0.8978960802977839,80.8
0.02,0.2,20,2.5,0.1,-0.00146229816519015,-0.1975865020936424,-0.23918386242246942,0.00479612779013541,25,0.24,0.8978960802977839,80.8
0.02,0.2,100,2.5,0.08,-0.00146229816519015,-0.1975865020936424,-0.23918386242246942,0.00479612779013541,25,0.24,0.8978960802977839,80.8
0.02,0.2,50,2.5,0.1,-0.00146229816519015,-0.1975865020936424,-0.23918386242246942,0.00479612779013541,25,0.24,0.8978960802977839,80.8
0.02,0.5,20,2.0,0.08,-0.0020453820419813564,-0.23806357056873242,-0.25013597452577463,0.006802612130237909,52,0.3076923076923077,0.9482443039238353,58.26923076923077
0.02,0.3,100,2.5,0.1,-0.0017723458973167,-0.24509865895669503,-0.2946432528983068,0.00506493241385746,27,0.2222222222222222,0.8693744639137461,72.96296296296296
0.02,0.3,50,2.5,0.1,-0.0017723458973167,-0.24509865895669503,-0.2946432528983068,0.00506493241385746,27,0.2222222222222222,0.8693744639137461,72.96296296296296
0.015,0.5,20,2.5,0.1,-0.002300771758306655,-0.2649602987841646,-0.2871921409675124,0.006439907633746398,41,0.2682926829268293,0.8918452443360427,72.63414634146342
0.01,0.5,20,2.5,0.03,-0.003243870781355654,-0.2691941961713667,-0.34154147076194125,0.007882092477070354,58,0.29310344827586204,0.8898426539419874,101.39655172413794
0.02,0.4,20,2.5,0.1,-0.002121992341005098,-0.2986543853799409,-0.33390605895090336,0.0064138852988250205,37,0.2702702702702703,0.8979336356808594,66.5945945945946
0.02,0.2,20,2.5,0.05,-0.0023224644525190524,-0.30063886466350553,-0.33696477316496487,0.005884580682553886,30,0.26666666666666666,0.8306659966678077,91.46666666666667
0.015,0.5,20,2.0,0.08,-0.002879577588921675,-0.3204591389276641,-0.334163682114521,0.00752779974060073,60,0.3,0.9029574060421438,54.46666666666667
0.005,0.5,50,2.5,0.1,-0.0028756893751623286,-0.3256454096080411,-0.4083636627381785,0.005928388105509119,40,0.275,0.8297391512681276,74.65
0.005,0.5,20,2.5,0.03,-0.004119785152337718,-0.33080324841684555,-0.41955727143033095,0.007330594418955083,58,0.27586206896551724,0.8323793519847302,99.67241379310344
0.02,0.5,20,2.5,0.08,-0.002910764884289674,-0.3317514544542892,-0.34537418423915994,0.006619745559155379,47,0.2553191489361702,0.8758842301989427,63.5531914893617
0.02,0.5,100,2.5,0.1,-0.002392751839789271,-0.3320144387840656,-0.3690829008199172,0.005034700056826796,34,0.29411764705882354,0.8427944728183785,69.6470588235294
0.01,0.2,20,2.5,0.08,-0.003981451415802003,-0.3556105634211118,-0.45600322627819456,0.007649978182483275,39,0.23076923076923078,0.7392692398042853,111.1025641025641
0.01,0.5,100,2.5,0.03,-0.004074918293552328,-0.3558859826355995,-0.43104310939573437,0.008658153845889763,61,0.2786885245901639,0.8488497964591636,93.47540983606558
0.005,0.4,20,2.5,0.05,-0.004748833065214276,-0.38373657997241334,-0.4827879582721941,0.008635662196538737,49,0.24489795918367346,0.754341774485582,110.51020408163265
0.02,0.5,50,2.0,0.08,-0.0031469975640163465,-0.3905399519159283,-0.42895854033431685,0.007036144141160106,49,0.2653061224489796,0.8396452648230486,55.91836734693877
0.01,0.5,100,2.0,0.1,-0.003312293637975381,-0.39248444458209014,-0.46451564835646564,0.0069450138392185565,48,0.2708333333333333,0.8121842073504978,58.0
0.005,0.3,50,2.5,0.1,-0.004283826690133283,-0.39479285765106564,-0.5075537412597914,0.007623092029156217,42,0.21428571428571427,0.7273049769047565,85.0
0.02,0.3,50,2.0,0.1,-0.0030286716563285155,-0.3965382814527022,-0.4501389045617206,0.006546708185831109,51,0.27450980392156865,0.8671455914918907,38.68627450980392
0.02,0.3,100,2.0,0.1,-0.0030286716563285155,-0.3965382814527022,-0.4501389045617206,0.006546708185831109,51,0.27450980392156865,0.8671455914918907,38.68627450980392
0.02,0.5,100,2.0,0.08,-0.0032830410943191965,-0.40765835780671444,-0.44775729712223394,0.007030647892725072,52,0.2692307692307692,0.8453642906235149,56.19230769230769
0.02,0.2,20,2.0,0.1,-0.0031914272276361588,-0.40802742159441846,-0.4686664562471566,0.006528969794090164,51,0.27450980392156865,0.8559646609928886,39.568627450980394
0.02,0.2,100,2.0,0.08,-0.0031914272276361588,-0.40802742159441846,-0.4686664562471566,0.006528969794090164,51,0.27450980392156865,0.8559646609928886,39.568627450980394
0.02,0.2,50,2.0,0.08,-0.0031914272276361588,-0.40802742159441846,-0.4686664562471566,0.006528969794090164,51,0.27450980392156865,0.8559646609928886,39.568627450980394
0.02,0.2,100,2.0,0.1,-0.0031914272276361588,-0.40802742159441846,-0.4686664562471566,0.006528969794090164,51,0.27450980392156865,0.8559646609928886,39.568627450980394
0.02,0.2,50,2.0,0.1,-0.0031914272276361588,-0.40802742159441846,-0.4686664562471566,0.006528969794090164,51,0.27450980392156865,0.8559646609928886,39.568627450980394
0.01,0.4,20,2.5,0.03,-0.004671178187689657,-0.40840493117952353,-0.48411913766076825,0.00980585026265693,61,0.2786885245901639,0.8114835979704442,94.63934426229508
0.02,0.3,50,2.5,0.08,-0.003089085031838913,-0.4094056256668967,-0.46826160150337404,0.005712923905896938,28,0.21428571428571427,0.7411900549216364,83.21428571428571
